Time period,Average Life satisfaction,Average Worthwhile,Average happiness,Average anxiety,
01/04/2011,7.4,7.6,7.3,3.2,
01/07/2011,7.4,7.7,7.3,3.1,
01/10/2011,7.4,7.7,7.2,3.1,
01/01/2012,7.4,7.7,7.3,3.1,
01/04/2012,7.4,7.7,7.3,3.1,
01/07/2012,7.5,7.7,7.3,3.0,
01/10/2012,7.5,7.7,7.3,3.0,
01/01/2013,7.4,7.7,7.3,3.0,
01/04/2013,7.5,7.7,7.4,2.9,
01/07/2013,7.5,7.7,7.4,2.9,
01/10/2013,7.5,7.7,7.3,3.0,
01/01/2014,7.5,7.8,7.4,2.9,
01/04/2014,7.6,7.8,7.5,2.9,
01/07/2014,7.6,7.8,7.5,2.9,
01/10/2014,7.6,7.8,7.4,2.9,
01/01/2015,7.6,7.8,7.4,2.8,
01/04/2015,7.7,7.9,7.5,2.8,
01/07/2015,7.6,7.8,7.5,2.8,
01/10/2015,7.6,7.8,7.4,3.0,
01/01/2016,7.6,7.8,7.4,2.9,
01/04/2016,7.7,7.9,7.5,2.9,
01/07/2016,7.7,7.9,7.5,2.9,
01/10/2016,7.7,7.8,7.5,2.9,
01/01/2017,7.7,7.9,7.5,3.0,
01/04/2017,7.7,7.9,7.6,2.9,
01/07/2017,7.7,7.9,7.5,2.9,
01/10/2017,7.7,7.9,7.5,2.9,
01/01/2018,7.7,7.9,7.4,2.9,
01/04/2018,7.7,7.9,7.6,2.8,
01/07/2018,7.7,7.9,7.6,2.9,
01/10/2018,7.7,7.9,7.5,2.9,
01/01/2019,7.7,7.9,7.5,2.9,
01/04/2019,7.7,7.9,7.6,2.9,
01/07/2019,7.7,7.9,7.5,2.9,
01/10/2019,7.7,7.8,7.5,3.0,
01/01/2020,7.6,7.8,7.3,3.3,
01/04/2020,7.5,7.8,7.3,3.4,
01/07/2020,7.5,7.8,7.5,3.2,
01/10/2020,7.3,7.7,7.2,3.4,
01/01/2021,7.3,7.7,7.3,3.2,
01/04/2021,7.6,7.8,7.5,3.0,
01/07/2021,7.6,7.8,7.5,3.1,
01/10/2021,7.6,7.8,7.4,3.2,
01/01/2022,7.5,7.8,7.4,3.2,
01/04/2022,7.5,7.8,7.5,3.2,
01/07/2022,7.5,7.8,7.4,3.2,
01/10/2022,7.5,7.8,7.4,3.3,
01/01/2023,7.4,7.7,7.3,3.3,
01/04/2023,7.5,7.8,7.5,3.1,
01/07/2023,7.5,7.8,7.4,3.2,
01/10/2023,7.5,7.8,7.4,3.3,
01/01/2024,7.5,7.8,7.3,3.2,
01/04/2024,7.5,7.8,7.4,3.2,
